iter	Logloss
0	0.6752519111
1	0.6462954682
2	0.6288543665
3	0.5963896283
4	0.5877097204
5	0.5802384104
6	0.5651071488
7	0.5533825154
8	0.5292950083
9	0.5067478413
10	0.4983561558
11	0.4805943411
12	0.4709696331
13	0.4568848596
14	0.4436673233
15	0.4314529577
16	0.4266151127
17	0.4150428727
18	0.410567209
19	0.4009648373
20	0.39471946
21	0.3891710853
22	0.3799184111
23	0.376208529
24	0.3690835363
25	0.3652946149
26	0.3595571065
27	0.3558459915
28	0.3487487045
29	0.3428440148
30	0.33893411
31	0.3353101711
32	0.3319166168
33	0.3285811982
34	0.3254968851
35	0.3237724843
36	0.3209604592
37	0.3174595497
38	0.3145460693
39	0.3121659923
40	0.3090356498
41	0.3044705469
42	0.3020760333
43	0.2982285748
44	0.2960981928
45	0.2936955537
46	0.2914887919
47	0.2884078315
48	0.2857380289
49	0.2833521632
50	0.2800698394
51	0.2779314648
52	0.2760141146
53	0.2740332412
54	0.2719604926
55	0.2698695385
56	0.2678676235
57	0.2662890831
58	0.2657974879
59	0.2639047955
60	0.2617027344
61	0.2599474606
62	0.2578707752
63	0.2559357363
64	0.2543803737
65	0.2527441065
66	0.2509343272
67	0.2492254274
68	0.2470530743
69	0.2453070442
70	0.2436821665
71	0.2421150108
72	0.2407807428
73	0.2392670833
74	0.2378627434
75	0.2360573778
76	0.2343968004
77	0.2326971529
78	0.2313284129
79	0.2297699162
80	0.2283398336
81	0.22689639
82	0.2254399976
83	0.2239547496
84	0.2224664884
85	0.2211080809
86	0.2195788317
87	0.2181654439
88	0.2167584736
89	0.215479677
90	0.2139316772
91	0.2126792362
92	0.2112546426
93	0.210048785
94	0.2087322649
95	0.2073963847
96	0.2059542985
97	0.2047260197
