iter	Passed	Remaining
0	487	47306
1	546	26248
2	1328	42069
3	1353	31809
4	2223	41351
5	3165	48537
6	3454	44912
7	3523	39642
8	3549	35103
9	3570	31421
10	3646	28837
11	3671	26310
12	3766	24625
13	3790	22745
14	3837	21234
15	3915	20064
16	4643	22126
17	4668	20747
18	4939	20537
19	4985	19442
20	5011	18374
21	5091	17588
22	5122	16704
23	5483	16906
24	5512	16095
25	5809	16088
26	5846	15374
27	6024	15061
28	6054	14406
29	6109	13848
30	6227	13460
31	6284	12962
32	6546	12894
33	6588	12401
34	6856	12340
35	6874	11838
36	7397	12196
37	7921	12506
38	8855	13396
39	9356	13566
40	9540	13263
41	9590	12787
42	10070	12880
43	10108	12406
44	11229	13226
45	11550	13057
46	11741	12741
47	11766	12256
48	12769	12769
49	12902	12386
50	12975	11957
51	13095	11584
52	13999	11886
53	14052	11450
54	14120	11039
55	14255	10691
56	14785	10635
57	14902	10277
58	14928	9867
59	15728	9961
60	16736	10151
61	17703	10279
62	17970	9983
63	18098	9615
64	18730	9509
65	19725	9563
66	19756	9141
67	20679	9123
68	20729	8712
69	21600	8640
70	22566	8581
71	23335	8426
72	23373	8004
73	24268	7870
74	24546	7527
75	24667	7140
76	24962	6807
77	25992	6664
78	27015	6497
79	27950	6288
80	28959	6078
81	29734	5801
82	30759	5558
83	31589	5264
84	32452	4963
85	33502	4674
86	34061	4306
87	35150	3994
88	36090	3649
89	36977	3286
90	37301	2869
91	38312	2498
92	39366	2116
93	40338	1716
94	41293	1303
95	42316	881
96	43151	444
97	44189	0
