iter	RMSE
0	3.184559691
1	3.164420334
2	3.145789615
3	3.129011609
4	3.111759647
5	3.094475909
6	3.077068144
7	3.062678728
8	3.045478101
9	3.028643055
10	3.013975776
11	3.001604263
12	2.985991104
13	2.974332593
14	2.961424648
15	2.947961736
16	2.936651812
17	2.922490141
18	2.909991606
19	2.898897848
20	2.885825681
21	2.873441154
22	2.860016447
23	2.849902034
24	2.836382105
25	2.827214107
26	2.817276589
27	2.806282475
28	2.797791724
29	2.785506517
30	2.775561413
31	2.765906946
32	2.757672605
33	2.748390691
34	2.744185821
35	2.736829633
36	2.728613119
37	2.720783374
38	2.712230376
39	2.704060198
40	2.695684811
41	2.690185835
42	2.683326567
43	2.675710327
44	2.668342635
45	2.661999374
46	2.652682795
47	2.646920243
48	2.639462214
49	2.632174177
50	2.626110986
51	2.621340866
52	2.614940893
53	2.607485248
54	2.604037535
55	2.598785262
56	2.593586368
57	2.588621922
58	2.583399287
59	2.578360955
60	2.57415658
61	2.569853858
62	2.564430261
63	2.560634678
64	2.555528963
65	2.55231516
66	2.547514352
67	2.542706172
68	2.539144949
69	2.533969132
70	2.530974774
71	2.529384871
72	2.525154209
73	2.519072754
74	2.515866784
75	2.511110534
76	2.505319856
77	2.502333034
78	2.499679169
79	2.497360316
80	2.495359561
81	2.492976886
82	2.491288171
83	2.486611825
84	2.484369188
85	2.482301371
86	2.47897943
87	2.477231628
88	2.47293143
89	2.469630523
90	2.464711388
91	2.463538789
92	2.45965664
93	2.458185077
94	2.453989095
95	2.452275377
96	2.4493353
97	2.445934508
98	2.444441573
99	2.441569164
100	2.437998163
101	2.435938622
102	2.433181914
103	2.429583439
104	2.425235809
105	2.421087181
106	2.418313283
107	2.415662536
108	2.412116561
109	2.40806828
110	2.406306694
111	2.403155539
112	2.400940773
113	2.398092079
114	2.395929335
115	2.394199523
116	2.393042455
117	2.389761801
118	2.388184077
119	2.387424691
120	2.385431394
121	2.381970248
122	2.381160273
123	2.377946153
124	2.375188299
125	2.373334042
126	2.371889476
127	2.369042851
128	2.365358446
129	2.362262654
130	2.361369752
131	2.360084425
132	2.357966261
133	2.355815268
134	2.355212023
135	2.353167885
136	2.351762804
137	2.349529064
138	2.348991402
139	2.34729085
140	2.345428689
141	2.342571655
142	2.340579936
143	2.338682577
144	2.337518222
145	2.333997779
146	2.332826279
147	2.331335625
148	2.330690955
149	2.329057424
150	2.327492089
151	2.325455116
152	2.323716299
153	2.321737805
154	2.320880449
155	2.319010734
156	2.318681718
157	2.316290798
158	2.3126831
159	2.312089933
160	2.31124078
161	2.309361315
162	2.308524138
163	2.306083887
164	2.305634526
165	2.303886876
166	2.301933273
167	2.300577551
168	2.300183975
169	2.298112448
170	2.295497414
171	2.293131588
172	2.291997916
173	2.290993062
174	2.290060365
175	2.28830475
176	2.287876135
177	2.286283079
178	2.284369203
179	2.282193631
180	2.280411555
181	2.278791968
182	2.277068517
183	2.274721925
184	2.273514237
185	2.272055308
186	2.271530422
187	2.269795354
188	2.269397269
189	2.268271934
190	2.267377023
191	2.266404875
192	2.2664039
193	2.264340349
194	2.262889798
195	2.262035623
196	2.260637282
197	2.260077307
198	2.25854518
199	2.257790953
200	2.257175411
201	2.255901871
202	2.255000139
203	2.253697862
204	2.251776013
205	2.249591043
206	2.248486568
207	2.24792433
208	2.247450651
209	2.246549254
210	2.246336165
211	2.245300293
212	2.243958293
213	2.243771608
214	2.243176174
215	2.24275812
216	2.242447533
217	2.241405455
218	2.240892648
219	2.240514935
220	2.238675684
221	2.237415736
222	2.236925634
223	2.234989977
224	2.233814177
225	2.232596207
226	2.231000692
227	2.230356141
