iter	Passed	Remaining
0	4	11740
1	9	12347
2	13	11850
3	19	12463
4	23	12079
5	27	11889
6	33	12214
7	37	12199
8	42	12045
9	46	12011
10	51	12073
11	55	11965
12	60	11894
13	65	12082
14	68	11729
15	72	11604
16	77	11669
17	83	11882
18	88	11912
19	93	12039
20	99	12122
21	104	12130
22	109	12210
23	115	12325
24	120	12307
25	125	12375
26	131	12476
27	136	12475
28	142	12593
29	147	12591
30	152	12551
31	157	12607
32	162	12585
33	167	12554
34	172	12584
35	177	12581
36	182	12570
37	190	12770
38	196	12820
39	203	12969
40	211	13109
41	216	13110
42	223	13223
43	227	13156
44	233	13170
45	239	13240
46	244	13237
47	250	13249
48	256	13260
49	260	13209
50	264	13164
51	270	13172
52	274	13123
53	278	13073
54	283	13069
55	288	13023
56	292	12968
57	296	12928
58	301	12907
59	305	12861
60	309	12815
61	315	12859
62	320	12823
63	323	12772
64	328	12731
65	332	12710
66	336	12663
67	340	12619
68	345	12623
69	350	12585
70	354	12546
71	358	12514
72	363	12529
73	368	12515
74	374	12557
75	379	12554
76	384	12524
77	388	12498
78	394	12513
79	398	12485
80	403	12470
81	409	12505
82	413	12473
83	418	12457
84	422	12444
85	425	12386
86	430	12360
87	434	12333
88	439	12341
89	443	12317
90	448	12292
91	452	12263
92	457	12265
93	461	12245
94	465	12218
95	470	12221
96	475	12209
97	480	12211
98	487	12239
99	491	12219
100	495	12198
101	500	12184
102	505	12200
103	510	12188
104	514	12166
105	519	12169
106	524	12152
107	528	12121
108	533	12130
109	537	12114
110	542	12096
111	546	12079
112	551	12083
113	556	12068
114	561	12061
115	566	12069
116	570	12053
117	575	12045
118	581	12062
119	586	12051
120	591	12056
121	597	12068
122	601	12056
123	606	12045
124	611	12045
125	616	12035
126	620	12023
127	625	12011
128	630	12016
129	635	12019
130	640	12013
131	645	12011
132	650	11999
133	654	11987
134	660	11991
135	664	11976
136	669	11965
137	674	11963
138	679	11960
139	683	11953
140	688	11949
141	693	11948
142	698	11936
143	703	11927
144	709	11941
145	713	11937
146	719	11940
147	724	11946
148	729	11937
149	734	11928
150	739	11936
151	744	11925
152	749	11915
153	754	11922
154	759	11913
155	764	11905
156	771	11934
157	775	11925
158	780	11919
159	786	11928
160	791	11920
161	796	11922
162	802	11927
163	804	11892
164	809	11885
165	815	11888
166	819	11880
167	824	11872
168	829	11865
169	834	11867
170	839	11860
171	844	11852
172	849	11854
173	854	11854
174	859	11850
175	865	11858
176	870	11852
177	875	11842
178	880	11846
179	885	11840
180	889	11830
181	895	11837
182	901	11836
183	905	11827
184	911	11835
185	916	11826
186	920	11811
187	925	11809
188	930	11802
189	934	11793
190	939	11790
191	946	11802
192	951	11799
193	956	11803
194	961	11796
195	964	11770
196	969	11765
197	976	11776
198	981	11776
199	985	11766
200	988	11739
201	993	11731
202	998	11724
203	1003	11726
204	1008	11719
205	1013	11713
206	1018	11709
207	1023	11703
208	1028	11701
209	1033	11702
210	1038	11696
211	1043	11689
212	1048	11689
213	1053	11685
214	1058	11679
215	1063	11671
216	1068	11673
217	1073	11665
218	1078	11657
219	1083	11659
220	1088	11653
221	1093	11646
222	1098	11650
223	1103	11644
224	1108	11637
225	1114	11640
226	1118	11633
227	1123	11624
228	1129	11631
229	1136	11650
230	1141	11646
231	1148	11655
232	1153	11651
233	1158	11648
234	1165	11666
235	1171	11667
236	1178	11684
237	1181	11663
238	1186	11657
239	1202	11755
240	1207	11754
241	1212	11747
242	1216	11739
243	1221	11731
244	1226	11724
245	1232	11724
246	1236	11716
247	1241	11707
248	1246	11704
249	1251	11697
250	1256	11689
251	1260	11683
252	1266	11681
253	1270	11672
254	1275	11664
255	1281	11665
256	1286	11663
257	1291	11657
258	1296	11656
259	1301	11646
260	1305	11638
261	1311	11639
262	1316	11631
263	1320	11623
264	1326	11623
265	1331	11615
266	1333	11587
267	1338	11578
268	1343	11579
269	1348	11572
270	1353	11563
271	1358	11562
272	1363	11555
273	1367	11547
274	1373	11547
275	1378	11540
276	1382	11531
277	1388	11528
278	1392	11521
279	1397	11513
280	1402	11511
281	1407	11506
282	1412	11499
283	1420	11520
284	1426	11518
285	1431	11517
286	1437	11522
287	1442	11518
288	1447	11513
289	1453	11516
290	1459	11514
291	1465	11518
292	1471	11522
293	1477	11522
294	1483	11528
295	1490	11535
296	1495	11531
297	1500	11528
298	1505	11520
299	1510	11511
300	1515	11512
301	1520	11506
302	1526	11504
303	1533	11517
304	1539	11517
305	1545	11518
306	1551	11519
307	1556	11514
308	1561	11515
309	1566	11508
310	1571	11502
311	1577	11505
312	1582	11500
313	1587	11494
314	1594	11500
315	1599	11493
316	1604	11487
317	1610	11489
318	1615	11482
319	1619	11475
320	1625	11476
321	1630	11470
322	1635	11465
323	1641	11465
324	1646	11459
325	1651	11454
326	1657	11453
327	1662	11447
328	1667	11442
329	1672	11439
330	1677	11433
331	1683	11436
332	1689	11436
333	1694	11429
334	1699	11422
335	1704	11421
336	1709	11416
337	1714	11410
338	1720	11408
339	1725	11400
340	1729	11394
341	1735	11393
342	1740	11387
343	1745	11379
344	1750	11378
345	1755	11372
346	1760	11364
347	1766	11362
348	1770	11354
349	1775	11347
350	1780	11341
351	1785	11335
352	1789	11327
353	1792	11308
354	1798	11306
355	1803	11299
356	1807	11291
357	1813	11294
358	1819	11291
359	1824	11284
360	1830	11288
361	1835	11283
362	1838	11264
363	1844	11261
364	1848	11255
365	1853	11247
366	1858	11243
367	1863	11238
368	1868	11230
369	1873	11227
370	1879	11223
371	1883	11215
372	1890	11219
373	1895	11216
374	1900	11209
375	1905	11204
376	1910	11198
377	1915	11191
378	1919	11184
379	1925	11180
380	1929	11174
381	1934	11167
382	1940	11164
383	1945	11159
384	1950	11154
385	1955	11153
386	1960	11146
387	1963	11126
388	1968	11122
389	1973	11116
390	1977	11108
391	1981	11094
392	1986	11091
393	1991	11084
394	1996	11077
395	2001	11076
396	2006	11069
397	2011	11062
398	2016	11059
399	2021	11052
400	2026	11045
401	2031	11041
402	2036	11035
403	2040	11027
404	2046	11023
405	2050	11017
406	2055	11010
407	2060	11003
408	2067	11011
409	2073	11011
410	2081	11022
411	2087	11018
412	2092	11015
413	2098	11013
414	2103	11007
415	2108	11002
416	2113	10998
417	2118	10993
418	2123	10988
419	2128	10984
420	2133	10977
421	2138	10970
