iter	MultiClass
0	3.102950993
1	2.952978994
2	2.831238675
3	2.738176083
4	2.659190457
5	2.588797035
6	2.534799364
7	2.487311335
8	2.443658936
9	2.405219022
10	2.374939276
11	2.342655592
12	2.318074306
13	2.288906875
14	2.269365206
15	2.250058771
16	2.235206476
17	2.224288708
18	2.210811957
19	2.196008903
20	2.188145735
21	2.176405529
22	2.16807892
23	2.158965712
24	2.153824618
25	2.146340196
26	2.139730565
27	2.13279105
28	2.126449213
29	2.120404397
30	2.116707054
31	2.111641682
32	2.103882877
33	2.099501262
34	2.09301368
35	2.088514952
36	2.084908785
37	2.080148468
38	2.07873051
39	2.075884435
40	2.07451666
41	2.073301663
42	2.070966209
43	2.067132646
44	2.062801316
45	2.059937624
46	2.05786166
47	2.057234388
48	2.056177561
49	2.049847047
50	2.047417217
51	2.045793086
52	2.041111392
53	2.040256473
54	2.039247161
55	2.038656337
56	2.037054434
57	2.035146924
58	2.033387848
59	2.028328313
60	2.028101269
61	2.026356734
62	2.026070674
63	2.024762351
64	2.023398235
65	2.021101503
66	2.017265699
67	2.01330135
68	2.012665068
69	2.01081448
70	2.009522019
71	2.005853653
72	2.004300492
73	2.004198729
74	2.000693518
75	1.998990603
76	1.998378235
77	1.995121573
78	1.995045149
79	1.994075641
80	1.993892528
81	1.991980512
82	1.989671558
83	1.989611849
84	1.988362609
85	1.986505041
86	1.984638431
87	1.984596707
88	1.984503795
89	1.982797183
90	1.980888627
91	1.976553637
92	1.974453206
93	1.972897933
94	1.971522823
95	1.971467211
96	1.97108057
97	1.969229147
98	1.964991626
99	1.961203764
100	1.959916754
101	1.95596983
102	1.954879194
103	1.951803729
104	1.950739052
105	1.947273306
106	1.945403762
107	1.944376279
108	1.942598128
109	1.938531668
110	1.934369286
111	1.932312765
112	1.931113831
113	1.930333823
114	1.928627226
115	1.925296849
116	1.923572961
117	1.922005415
118	1.918883781
119	1.917038673
120	1.914908949
121	1.913875879
122	1.910390531
123	1.90817636
124	1.905749555
125	1.905309122
126	1.902537309
127	1.900021531
128	1.897077714
129	1.895960848
130	1.892110874
131	1.89099669
132	1.889784288
133	1.888521919
134	1.886560971
135	1.884439233
136	1.882632535
137	1.880270221
138	1.878712891
139	1.876371862
140	1.873718344
141	1.86978331
142	1.86655146
143	1.865516316
144	1.864769623
145	1.863843395
146	1.862392735
147	1.86062078
148	1.857958533
149	1.856321435
150	1.855571658
151	1.854889269
152	1.853634051
153	1.852533271
154	1.848963879
155	1.847732454
156	1.845695094
157	1.842601313
158	1.838595474
159	1.837993118
160	1.836154263
161	1.831933757
162	1.830709033
163	1.829372443
164	1.82568552
165	1.823934318
166	1.821674131
167	1.819156066
168	1.817464789
169	1.816187788
170	1.815212936
171	1.812489578
172	1.809810326
173	1.809315758
174	1.808917073
175	1.807674019
176	1.804523834
177	1.803582343
178	1.802788505
179	1.80120792
180	1.799143455
181	1.79636149
182	1.793377818
183	1.791848451
184	1.790369422
185	1.78990051
186	1.786913526
187	1.78586186
188	1.784097378
189	1.781763706
190	1.780788729
191	1.780136351
192	1.779510196
193	1.779256762
194	1.777770805
195	1.775039569
196	1.774339739
197	1.77289519
198	1.77209678
199	1.770826721
200	1.770362311
201	1.769477982
202	1.767059164
203	1.766264061
204	1.765500277
205	1.764278947
206	1.762508257
207	1.761132537
208	1.760400555
209	1.759155436
210	1.758085247
211	1.755603831
212	1.754675003
213	1.753273762
214	1.752820798
215	1.750858949
216	1.750057705
217	1.749663155
218	1.748799931
219	1.747760953
220	1.745716368
221	1.743703639
222	1.742632866
223	1.741194071
224	1.738092629
225	1.736989299
226	1.735780507
227	1.735356613
228	1.733261361
229	1.732499357
230	1.731287753
231	1.730273649
232	1.729547195
233	1.729020828
234	1.727016264
235	1.72645632
236	1.724377828
237	1.721975371
238	1.721681906
239	1.720792219
240	1.720289023
241	1.718533924
242	1.716821523
243	1.716175574
244	1.715011907
245	1.713329411
246	1.711548971
247	1.709679217
248	1.707184186
249	1.706038598
250	1.704031858
251	1.703564654
252	1.703004951
253	1.701436773
254	1.701140241
255	1.69996509
256	1.698843373
257	1.697849977
258	1.696570733
259	1.694515533
260	1.693264908
261	1.690545624
262	1.689608212
263	1.68918906
264	1.687520289
265	1.687059586
266	1.685771068
267	1.684779222
268	1.684365956
269	1.68222645
270	1.681831523
271	1.679465732
272	1.679149486
273	1.678143903
274	1.676201935
275	1.673651405
276	1.671202915
277	1.668746842
278	1.668313894
279	1.666995352
280	1.666478022
281	1.665455057
282	1.662833113
283	1.66151191
284	1.660602144
285	1.66002537
286	1.659068078
287	1.658756957
288	1.657079597
289	1.656923536
290	1.656045642
291	1.654638574
292	1.653422453
293	1.65228621
294	1.651392304
295	1.650127424
296	1.648184525
297	1.647702217
298	1.646874942
299	1.644581893
300	1.643016404
301	1.642066043
302	1.639650531
303	1.639012186
304	1.637938848
305	1.636788173
306	1.636446936
307	1.635680112
308	1.634661308
309	1.632465256
310	1.632210853
311	1.630228405
312	1.629689241
313	1.628189908
314	1.627579222
315	1.625608248
316	1.623777716
317	1.622711611
318	1.621123486
319	1.620255542
320	1.61860688
321	1.61757366
322	1.61711571
323	1.615280628
324	1.614467127
325	1.612474139
326	1.611932374
327	1.61122007
328	1.609928576
329	1.609339599
330	1.607990674
331	1.606891935
332	1.606438066
333	1.605107738
334	1.604239104
335	1.601952293
336	1.601086293
337	1.60049249
338	1.59829246
339	1.597809019
340	1.596593088
341	1.595975994
342	1.595021561
343	1.592984057
344	1.591442338
345	1.590112836
346	1.588317033
347	1.587528506
348	1.58580107
349	1.585510426
350	1.583886796
351	1.582472474
352	1.581250134
353	1.580767564
354	1.578592115
355	1.577070677
356	1.575850078
357	1.574279181
358	1.57320717
359	1.571746176
360	1.571185522
361	1.569845296
362	1.56907013
363	1.56747589
364	1.56691608
365	1.565757957
366	1.565541637
367	1.563511067
368	1.562927104
369	1.561404367
370	1.560343808
371	1.559146973
372	1.55837426
373	1.557235991
374	1.556809993
375	1.556654271
376	1.555857813
377	1.554930428
378	1.554126222
379	1.553702344
380	1.55231265
381	1.549893443
382	1.548306488
383	1.546492593
384	1.546030238
385	1.544808342
386	1.544148308
387	1.543556999
388	1.54165218
389	1.540395026
390	1.538828079
391	1.537086995
392	1.535923679
393	1.535354029
394	1.534642495
395	1.532664912
396	1.531262401
397	1.530232102
398	1.528957433
399	1.528366678
400	1.527589513
401	1.526316724
402	1.526083405
403	1.524227795
404	1.523069396
405	1.522549909
406	1.521197708
407	1.520546921
408	1.518541617
409	1.516162362
410	1.515704463
411	1.514797939
412	1.514060426
413	1.512751582
414	1.511756684
415	1.510232211
416	1.508871194
417	1.508205575
418	1.506615823
419	1.505561234
420	1.505082532
421	1.504090449
422	1.503296272
423	1.501249158
424	1.500192649
425	1.498985379
426	1.498515387
427	1.497018992
428	1.495376721
429	1.494522409
430	1.493625804
431	1.49265259
432	1.490974738
433	1.489738704
434	1.487564562
435	1.485782819
436	1.48567749
437	1.485194073
438	1.483289118
439	1.482788498
440	1.481254116
441	1.480809177
442	1.479852607
443	1.479097816
444	1.477877991
445	1.4769621
446	1.475749385
447	1.473894923
448	1.472799835
449	1.472135309
450	1.47096016
451	1.469710863
452	1.469183113
453	1.468879508
454	1.467401794
455	1.465547822
456	1.464546005
457	1.464073923
458	1.462899772
459	1.462255639
460	1.461425577
461	1.461088323
462	1.45931773
463	1.458887476
464	1.458167633
465	1.457098496
466	1.455655284
467	1.453655233
468	1.452124732
469	1.451068458
470	1.450740341
471	1.449913737
472	1.449365694
473	1.448467362
474	1.447445094
475	1.445729388
476	1.444708632
477	1.444010512
478	1.443604046
479	1.442716829
480	1.442065849
481	1.440674361
482	1.439448342
483	1.438429456
484	1.437637052
485	1.437102116
486	1.436457662
487	1.435853565
488	1.435258052
489	1.434021435
490	1.433422658
491	1.433134507
492	1.432836269
493	1.43176508
494	1.43103774
495	1.430766757
496	1.430346006
497	1.429637807
498	1.429460332
499	1.427945865
500	1.42686474
501	1.426585168
502	1.425494005
503	1.424739661
504	1.423570764
505	1.423378688
506	1.421518711
507	1.420343728
508	1.419100408
509	1.418460106
